Date,JD.L,LLOY.L,SNN.L,WJG.L
2015-01-02,,62.17876052856445,,
2015-01-05,,60.92948532104492,,
2015-01-06,,59.50054931640625,,
2015-01-07,,59.6148567199707,,
2015-01-08,,60.5048828125,,
2015-01-09,,60.21092987060547,,
2015-01-12,,60.07211685180664,,
2015-01-13,,60.43138885498047,,
2015-01-14,,59.52504348754883,,
2015-01-15,,60.57019805908203,,
2015-01-16,,60.782501220703125,,
2015-01-19,,60.95396423339844,,
2015-01-20,,61.64801788330078,,
2015-01-21,,61.721500396728516,,
2015-01-22,,61.77050018310547,,
2015-01-23,,61.672523498535156,,
2015-01-26,,62.0562858581543,,
2015-01-27,,61.34590530395508,,
2015-01-28,,61.043792724609375,,
2015-01-29,,61.12544250488281,,
2015-01-30,,60.21908950805664,,
2015-02-02,,60.153770446777344,,
2015-02-03,,61.21527099609375,,
2015-02-04,,60.87232208251953,,
2015-02-05,,61.672523498535156,,
2015-02-06,,61.9011344909668,,
2015-02-09,,61.174434661865234,,
2015-02-10,,61.247920989990234,,
2015-02-11,,60.74167251586914,,
2015-02-12,,60.77433776855469,,
2015-02-13,,61.52553939819336,,
2015-02-16,,61.83583068847656,,
2015-02-17,,62.89731216430664,,
2015-02-18,,63.109619140625,,
2015-02-19,,63.06061935424805,,
2015-02-20,,63.67301559448242,,
2015-02-23,,64.52220153808594,,
2015-02-24,,64.6773452758789,,
2015-02-25,,64.70185089111328,,
2015-02-26,,64.09761047363281,,
2015-02-27,,64.50587463378906,,
2015-03-02,,65.3142318725586,,
2015-03-03,,64.86515045166016,,
2015-03-04,,65.21625518798828,,
2015-03-05,,66.08993530273438,,
2015-03-06,,66.49004364013672,,
2015-03-09,,65.62452697753906,,
2015-03-10,,64.30174255371094,,
2015-03-11,,63.820003509521484,,
2015-03-12,,64.669189453125,,
2015-03-13,,64.50587463378906,,
2015-03-16,,64.79166412353516,,
2015-03-17,,64.88147735595703,,
2015-03-18,,64.91414642333984,,
2015-03-19,,64.91414642333984,,
2015-03-20,,65.83680725097656,,
2015-03-23,,65.71434020996094,,
2015-03-24,,65.80416107177734,,
2015-03-25,,65.73067474365234,,
2015-03-26,,65.10194396972656,,
2015-03-27,,64.54671478271484,,
2015-03-30,,64.82433319091797,,
2015-03-31,,63.917964935302734,,
2015-04-01,,64.82433319091797,205.75460815429688,
2015-04-02,,65.18702697753906,207.13551330566406,
2015-04-07,,66.02783203125,211.738525390625,
2015-04-08,,65.68160247802734,216.34156799316406,
2015-04-09,,65.68160247802734,227.61888122558594,
2015-04-10,,65.36837005615234,234.75357055664062,
2015-04-13,,65.45079803466797,234.75357055664062,
2015-04-14,,65.86296081542969,234.75357055664062,
2015-04-15,,66.22566986083984,234.75357055664062,
2015-04-16,,65.86296081542969,232.91238403320312,
2015-04-17,,64.91500091552734,231.9917755126953,
2015-04-20,,64.78311157226562,235.0988006591797,
2015-04-21,,65.13755798339844,233.37266540527344,
2015-04-22,,64.48634338378906,230.1505584716797,
2015-04-23,,65.11282348632812,229.22996520996094,
2015-04-24,,65.2035140991211,232.4520721435547,
2015-04-27,,64.83257293701172,232.221923828125,
2015-04-28,,64.29676055908203,229.46009826660156,
2015-04-29,,63.81866455078125,229.46009826660156,
2015-04-30,,63.78567886352539,234.75357055664062,
2015-05-01,,68.31118774414062,231.9917755126953,
2015-05-05,,67.93199920654297,231.76162719726562,
2015-05-06,,68.1545639038086,231.53146362304688,
2015-05-07,,67.70118713378906,233.37266540527344,
2015-05-08,,71.59197235107422,232.68222045898438,
2015-05-11,,71.3858871459961,234.75357055664062,
2015-05-12,,71.73210144042969,239.3566131591797,
2015-05-13,,73.1499252319336,232.4520721435547,
2015-05-14,,73.21587371826172,233.4877471923828,
2015-05-15,,73.3642578125,233.37266540527344,
2015-05-18,,72.65533447265625,232.68222045898438,
2015-05-19,,72.5399169921875,233.2576141357422,
2015-05-20,,72.31737518310547,233.2576141357422,
2015-05-21,,72.40803527832031,235.6741943359375,
2015-05-22,,72.5234603881836,240.27719116210938,
2015-05-26,,71.56724548339844,240.27719116210938,
2015-05-27,,72.0535888671875,237.0550994873047,
2015-05-28,,72.490478515625,248.5625762939453,
2015-05-29,,72.350341796875,251.3244171142578,
2015-06-01,,73.08399963378906,250.8641357421875,
2015-06-02,,73.07573699951172,251.3244171142578,
2015-06-03,,73.30654907226562,251.7847137451172,
2015-06-04,,72.12776947021484,253.16563415527344,
2015-06-05,,71.78980255126953,257.998779296875,
2015-06-08,,71.24575805664062,262.60186767578125,
2015-06-09,,71.28697967529297,262.37164306640625,
2015-06-10,,71.4930419921875,262.1415100097656,
2015-06-11,,71.81454467773438,262.37164306640625,
2015-06-12,,71.67440032958984,262.37164306640625,
2015-06-15,,71.20454406738281,261.4510192871094,
2015-06-16,,70.64399719238281,262.37164306640625,
2015-06-17,,71.17981719970703,263.9826965332031,
2015-06-18,,70.99845886230469,262.37164306640625,
2015-06-19,,71.30345916748047,256.3876953125,
2015-06-22,,71.78157043457031,256.3876953125,
2015-06-23,,71.71562194824219,256.3876953125,
2015-06-24,,71.82278442382812,255.92739868164062,
2015-06-25,,72.1442642211914,254.8917999267578,
2015-06-26,,71.76506805419922,257.7686462402344,
2015-06-29,,70.78414154052734,250.40380859375,
2015-06-30,,70.26482391357422,245.34051513671875,
2015-07-01,,71.60020446777344,244.88021850585938,
2015-07-02,,71.06441497802734,248.5625762939453,
2015-07-03,,70.18238067626953,248.2174072265625,
2015-07-06,,69.3663101196289,246.60630798339844,
2015-07-07,,69.24266052246094,237.51536560058594,
