Date,HCAT,TSLA
2015-01-02,,219.30999755859375
2015-01-05,,210.08999633789062
2015-01-06,,211.27999877929688
2015-01-07,,210.9499969482422
2015-01-08,,210.6199951171875
2015-01-09,,206.66000366210938
2015-01-12,,202.2100067138672
2015-01-13,,204.25
2015-01-14,,192.69000244140625
2015-01-15,,191.8699951171875
2015-01-16,,193.07000732421875
2015-01-20,,191.92999267578125
2015-01-21,,196.57000732421875
2015-01-22,,201.6199951171875
2015-01-23,,201.2899932861328
2015-01-26,,206.5500030517578
2015-01-27,,205.97999572753906
2015-01-28,,199.3699951171875
2015-01-29,,205.1999969482422
2015-01-30,,203.60000610351562
2015-02-02,,210.94000244140625
2015-02-03,,218.36000061035156
2015-02-04,,218.5500030517578
2015-02-05,,220.99000549316406
2015-02-06,,217.36000061035156
2015-02-09,,217.47999572753906
2015-02-10,,216.2899932861328
2015-02-11,,212.8000030517578
2015-02-12,,202.8800048828125
2015-02-13,,203.77000427246094
2015-02-17,,204.35000610351562
2015-02-18,,204.4600067138672
2015-02-19,,211.7100067138672
2015-02-20,,217.11000061035156
2015-02-23,,207.33999633789062
2015-02-24,,204.11000061035156
2015-02-25,,203.75999450683594
2015-02-26,,207.19000244140625
2015-02-27,,203.33999633789062
2015-03-02,,197.3300018310547
2015-03-03,,199.55999755859375
2015-03-04,,202.44000244140625
2015-03-05,,200.6300048828125
2015-03-06,,193.8800048828125
2015-03-09,,190.8800048828125
2015-03-10,,190.32000732421875
2015-03-11,,193.74000549316406
2015-03-12,,191.07000732421875
2015-03-13,,188.67999267578125
2015-03-16,,195.6999969482422
2015-03-17,,194.72999572753906
2015-03-18,,200.7100067138672
2015-03-19,,195.64999389648438
2015-03-20,,198.0800018310547
2015-03-23,,199.6300048828125
2015-03-24,,201.72000122070312
2015-03-25,,194.3000030517578
2015-03-26,,190.41000366210938
2015-03-27,,185.0
2015-03-30,,190.57000732421875
2015-03-31,,188.77000427246094
2015-04-01,,187.58999633789062
2015-04-02,,191.0
2015-04-06,,203.10000610351562
2015-04-07,,203.25
2015-04-08,,207.6699981689453
2015-04-09,,210.08999633789062
2015-04-10,,210.89999389648438
2015-04-13,,209.77999877929688
2015-04-14,,207.4600067138672
2015-04-15,,207.8300018310547
2015-04-16,,206.6999969482422
2015-04-17,,206.7899932861328
2015-04-20,,205.27000427246094
2015-04-21,,209.41000366210938
2015-04-22,,219.44000244140625
2015-04-23,,218.60000610351562
2015-04-24,,218.42999267578125
2015-04-27,,231.5500030517578
2015-04-28,,230.47999572753906
2015-04-29,,232.4499969482422
2015-04-30,,226.0500030517578
2015-05-01,,226.02999877929688
2015-05-04,,230.50999450683594
2015-05-05,,232.9499969482422
2015-05-06,,230.42999267578125
2015-05-07,,236.8000030517578
