Date,AAL.L,ABF.L,ADM.L,AGK.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BLND.L,BNZL.L,BP.L,BRBY.L,CCH.L,CNA.L,CPG.L,CPI.L,CRDA.L,CRH.L,CUK.L,DGE.L,EVR.L,EXPN.L,FRES.L,GFS.L,GKN.L,GLEN.L,GSK.L,HL.L,HMSO.L,HSBA.L,IAG.L,IHG.L,IMI.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MGGT.L,MKS.L,MRO.L,MRW.L,NG.L,NXT.L,OML.L,PFC.L,PRU.L,RB.L,RBS.L,RDSA.L,REL.L,RIO.L,RR.L,RRS.L,RSA.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SNN.L,SRP.L,SSE.L,STAN.L,SVT.L,TATE.L,TLW.L,TSCO.L,ULVR.L,UU.L,VED.L,VOD.L,WEIR.L,WPP.L,WTB.L
2015-01-02,984.7012329101562,2959.61279296875,,1296.035888671875,665.7921142578125,-581.643798828125,3721.455322265625,384.6851806640625,875.3428344726562,212.84373474121094,-29.250932693481445,1609.946044921875,290.6390075683594,1436.9854736328125,1061.020751953125,189.7813720703125,1003.8969116210938,523.6892700195312,2563.15771484375,1358.464599609375,13239.0,1603.2542724609375,-497.4505615234375,983.1970825195312,711.2542724609375,224.14926147460938,,248.2692413330078,1061.3692626953125,913.7288208007812,463.3353271484375,44.77418518066406,391.8594970703125,3136.873779296875,-572.4855346679688,2149.29638671875,174.2483367919922,3172.29248046875,-202.62132263183594,1005.2267456054688,185.2588348388672,62.17876052856445,435.57171630859375,369.37969970703125,41.400146484375,154.9917449951172,778.8932495117188,5809.14013671875,,-766.4605102539062,1298.279296875,4582.15185546875,-2.974614143371582,,965.7515258789062,2249.858154296875,800.5803833007812,,380.52203369140625,195.39967346191406,2267.716064453125,409.8213806152344,-949.0330200195312,,126.33100128173828,1128.1605224609375,826.8720703125,1631.7969970703125,481.0096435546875,344.28350830078125,178.84042358398438,2228.772705078125,731.7545776367188,,164.36647033691406,1640.9736328125,1089.993408203125,4222.09326171875
2015-01-05,936.0891723632812,2868.80419921875,,1257.942626953125,642.6497802734375,-565.3135986328125,3724.29931640625,378.78204345703125,863.7598876953125,205.44696044921875,-29.423675537109375,1582.842529296875,275.9460144042969,1421.9429931640625,1027.0823974609375,183.885009765625,984.6792602539062,515.4843139648438,2538.4765625,1324.1065673828125,12964.5,1596.24169921875,-474.5415954589844,961.6473388671875,714.5083618164062,222.7570343017578,,236.06884765625,1051.0086669921875,892.8592529296875,464.1025085449219,44.18158721923828,397.08966064453125,3118.712890625,-559.6823120117188,2087.835693359375,171.06236267089844,3172.29248046875,-197.6808624267578,1013.9551391601562,182.69834899902344,60.92948532104492,438.13140869140625,353.6630859375,40.454200744628906,149.32339477539062,780.0935668945312,5796.24072265625,,-716.8722534179688,1273.90673828125,4595.458984375,-2.889756441116333,,956.0234375,2184.33203125,790.393798828125,,375.1294860839844,187.45204162597656,2229.624267578125,409.8213806152344,-932.5806274414062,,124.8740005493164,1112.7064208984375,813.981689453125,1622.006103515625,479.40496826171875,329.5675964355469,172.75222778320312,2200.549560546875,726.576171875,,160.32955932617188,1537.2689208984375,1076.185546875,4196.13623046875
2015-01-06,959.7719116210938,2861.39111328125,,1244.9564208984375,638.6441650390625,-557.1484985351562,3647.107421875,374.436767578125,854.6589965820312,201.63912963867188,-29.327709197998047,1577.422119140625,276.9019470214844,1417.518798828125,1021.7236938476562,180.93678283691406,965.46142578125,511.6232604980469,2551.24853515625,1295.9151611328125,12899.5,1562.055419921875,-480.759765625,939.199951171875,734.9627075195312,220.79153442382812,,237.40586853027344,1041.4158935546875,867.9063720703125,460.65045166015625,43.43534851074219,386.8707580566406,3066.6533203125,-548.7081298828125,2108.01708984375,169.26512145996094,3157.303466796875,-190.87254333496094,1004.3511962890625,179.68601989746094,59.50054931640625,434.2919006347656,351.8049621582031,39.98924255371094,146.95448303222656,769.0311889648438,5796.24072265625,,-696.39013671875,1250.4044189453125,4533.35791015625,-2.8285973072052,,942.7576904296875,2230.541259765625,790.856689453125,,365.2142028808594,188.3351287841797,2169.5244140625,402.8129577636719,-906.6034545898438,,124.95500183105469,1123.94580078125,813.8959350585938,1612.21533203125,492.64373779296875,329.317626953125,170.08865356445312,2201.404541015625,717.0159301757812,,159.51473999023438,1544.2408447265625,1062.3778076171875,4120.94970703125
2015-01-07,958.1099853515625,2829.886474609375,,1282.183837890625,640.4243774414062,-556.3079223632812,3639.794677734375,379.3559875488281,862.1051025390625,201.8579864501953,-29.903520584106445,1590.9736328125,278.8138122558594,1438.7552490234375,1013.685546875,181.82810974121094,970.037109375,515.9672241210938,2567.065185546875,1317.939697265625,12987.0,1586.1611328125,-490.25054931640625,961.6473388671875,741.9358520507812,222.18374633789062,,237.99081420898438,1058.299560546875,862.0083618164062,470.2393798828125,43.969425201416016,387.192626953125,3133.239501953125,-548.7081298828125,2118.107177734375,168.9384002685547,3154.48974609375,-192.25833129882812,1023.55078125,181.56874084472656,59.6148567199707,436.4249572753906,358.6180419921875,40.67102813720703,145.00863647460938,786.7830810546875,5890.8369140625,,-695.3121948242188,1280.4349365234375,4586.58740234375,-2.808720827102661,,952.4859008789062,2244.177001953125,795.9500732421875,,365.99700927734375,184.32115173339844,2187.30078125,402.9881591796875,-915.262451171875,,126.49299621582031,1123.94580078125,826.5281372070312,1648.9306640625,496.25439453125,329.0686950683594,173.1327362060547,2215.944091796875,740.1198120117188,,159.99623107910156,1538.140625,1074.56103515625,4153.17236328125
2015-01-08,981.3772583007812,2868.80419921875,,1314.216796875,664.0118408203125,-580.202880859375,3715.361572265625,384.439208984375,881.9617309570312,207.50405883789062,-30.15216064453125,1631.6290283203125,286.77996826171875,1460.8763427734375,1032.4410400390625,186.0104217529297,998.4061279296875,526.1026611328125,2618.430419921875,1367.2742919921875,13315.5,1621.22412109375,-504.3232116699219,979.60546875,766.5740356445312,225.62338256835938,,244.3834991455078,1095.5205078125,886.961181640625,478.67755126953125,44.3498649597168,381.1578369140625,3188.93310546875,-560.1395263671875,2229.10400390625,171.14405822753906,3237.86767578125,-194.42733764648438,1030.5291748046875,184.3551025390625,60.5048828125,446.23699951171875,345.998291015625,41.33830642700195,156.2607421875,799.556640625,5938.13525390625,,-696.39013671875,1309.159912109375,4666.4306640625,-2.887463092803955,,966.6360473632812,2293.416259765625,816.7864990234375,,377.1299133300781,202.62481689453125,2251.6328125,407.8940734863281,-944.7033081054688,,127.38400268554688,1123.94580078125,834.17626953125,1679.118896484375,507.0860900878906,327.4891357421875,199.0550994873047,2281.797607421875,750.4766845703125,,167.21829223632812,1548.5980224609375,1105.4254150390625,4237.31005859375
2015-01-09,957.694580078125,2852.125244140625,,1323.7401123046875,667.572265625,-588.8483276367188,3727.142822265625,383.45538330078125,853.0043334960938,202.20814514160156,-29.958515167236328,1637.049560546875,282.28350830078125,1457.336669921875,1007.4338989257812,184.2963409423828,989.2548828125,519.8282470703125,2614.42431640625,1341.7257080078125,13138.0,1598.4332275390625,-491.5595703125,981.4010620117188,758.6712646484375,222.67514038085938,,239.1607208251953,1081.7064208984375,859.7399291992188,474.45843505859375,44.04258728027344,374.4793395996094,3145.352783203125,-556.9388427734375,2255.706298828125,174.41172790527344,3284.7197265625,-193.6440887451172,1031.4041748046875,183.82794189453125,60.21092987060547,441.11773681640625,346.84991455078125,41.29173278808594,149.1541748046875,791.0670776367188,5925.23583984375,,-685.0711669921875,1286.5281982421875,4653.1240234375,-2.811014413833618,,963.98291015625,2261.22119140625,798.2653198242188,,375.4773864746094,194.11520385742188,2228.7783203125,405.265869140625,-932.5806274414062,,129.40899658203125,1120.4334716796875,812.1769409179688,1675.03955078125,509.894287109375,321.7517395019531,194.15602111816406,2245.878173828125,747.2899169921875,,166.5886688232422,1539.88330078125,1102.9888916015625,4218.51318359375
2015-01-12,947.3074340820312,2878.9970703125,,1309.8880615234375,647.545166015625,-581.2836303710938,3796.615478515625,385.50506591796875,843.9033203125,202.55825805664062,-30.365184783935547,1652.408447265625,280.7965393066406,1471.4945068359375,1004.75439453125,178.94847106933594,1014.8784790039062,517.4148559570312,2617.37939453125,1345.249755859375,13161.0,1615.9647216796875,-479.45062255859375,978.7074584960938,767.5037841796875,225.2139129638672,,233.52015686035156,1084.0087890625,849.7588500976562,478.67755126953125,44.093788146972656,377.6174011230469,3191.35595703125,-550.5372314453125,2195.16259765625,173.59483337402344,3270.65966796875,-195.45156860351562,1041.0,184.27981567382812,60.07211685180664,442.82415771484375,347.08221435546875,41.29173278808594,149.66175842285156,789.4398803710938,5972.53466796875,,-655.426025390625,1286.9635009765625,4728.5322265625,-2.8171300888061523,,972.8268432617188,2215.390625,804.2847290039062,,379.2174072265625,192.91102600097656,2218.6201171875,407.368408203125,-923.9216918945312,,124.22599792480469,1055.8065185546875,791.63818359375,1689.725830078125,515.9119873046875,321.66876220703125,194.58407592773438,2290.350830078125,756.8501586914062,,167.99603271484375,1501.538818359375,1120.857421875,4273.11279296875
2015-01-13,951.877685546875,2902.16259765625,,1333.263427734375,631.078369140625,-589.32861328125,3832.774169921875,389.52239990234375,848.0401000976562,203.95883178710938,-30.423288345336914,1648.79443359375,280.6194763183594,1472.3790283203125,1016.3651123046875,186.35321044921875,1022.1993408203125,519.3453369140625,2645.01513671875,1346.1307373046875,13254.0,1635.249267578125,-479.45062255859375,976.0138549804688,773.082275390625,227.58888244628906,,224.7459259033203,1092.0667724609375,869.2674560546875,480.9788818359375,44.20354080200195,393.5492248535156,3203.45947265625,-556.481689453125,2167.642578125,179.6400146484375,3260.360107421875,-200.69334411621094,1054.0888671875,185.9365997314453,60.43138885498047,444.9572448730469,358.46319580078125,41.33830642700195,156.3453826904297,798.36181640625,6067.13330078125,,-665.6671142578125,1298.279296875,4737.40380859375,-2.8568835258483887,,978.1331176757812,2211.98193359375,798.7283935546875,,386.6103820800781,199.89529418945312,2268.562744140625,405.96673583984375,-940.3737182617188,,126.5739974975586,1070.5582275390625,800.5758056640625,1709.307373046875,522.3307495117188,306.7038879394531,201.67112731933594,2311.73193359375,751.2734375,,169.62562561035156,1474.5234375,1137.9140625,4287.43359375
2015-01-14,866.2877807617188,2812.281005859375,,1278.720703125,600.8151245117188,-590.049072265625,3802.709716796875,384.19329833984375,822.8057250976562,195.6866912841797,-30.26836395263672,1618.9805908203125,270.5998229980469,1452.9124755859375,954.739990234375,179.01702880859375,1011.2177124023438,504.3831481933594,2625.291748046875,1309.1297607421875,12933.0,1602.816162109375,-485.01422119140625,956.2600708007812,758.6712646484375,223.33030700683594,,203.89663696289062,1070.962158203125,829.7965087890625,484.04736328125,43.171974182128906,389.4455871582031,3167.138427734375,-549.1654052734375,2058.4814453125,178.90478515625,3199.456787109375,-198.3436279296875,1048.8536376953125,182.99957275390625,59.52504348754883,437.2781677246094,349.40484619140625,40.11293029785156,151.5230255126953,776.0634765625,5946.73486328125,,-643.0291137695312,1273.90673828125,4661.99609375,-2.7727901935577393,,976.3643188476562,2124.487060546875,789.4677734375,,378.5215759277344,195.15884399414062,2203.38330078125,404.6526794433594,-920.4578857421875,,124.63099670410156,1045.2696533203125,761.4749145507812,1689.725830078125,516.7142944335938,297.5584716796875,203.57366943359375,2291.2060546875,750.078369140625,,166.847900390625,1401.320068359375,1117.6085205078125,4211.3525390625
2015-01-15,880.414306640625,2916.061767578125,,1312.4852294921875,596.3646240234375,-608.7808837890625,3842.524658203125,393.21185302734375,843.0759887695312,199.5382843017578,-30.81060028076172,1648.79443359375,277.99951171875,1490.075927734375,965.4573974609375,181.82810974121094,998.4061279296875,507.76141357421875,2667.69384765625,1317.0587158203125,13122.5,1652.7808837890625,-484.3597412109375,1006.54248046875,794.9312744140625,226.68801879882812,,201.0554656982422,1084.392578125,852.48095703125,491.7183532714844,43.66946792602539,393.9515686035156,3148.98681640625,-555.1096801757812,2098.843505859375,179.31321716308594,3244.43310546875,-191.95706176757812,1069.7955322265625,186.84030151367188,60.57019805908203,441.970947265625,353.6630859375,40.99703598022461,159.13723754882812,781.12255859375,5933.83544921875,,-660.8161010742188,1319.1702880859375,4781.76123046875,-2.7735543251037598,,974.5953979492188,2153.273193359375,789.9307250976562,,385.30572509765625,204.95291137695312,2231.3173828125,409.7337951660156,-936.0442504882812,,129.49000549316406,1039.6500244140625,770.9280395507812,1716.6502685546875,523.1331176757812,295.06414794921875,208.56787109375,2336.533447265625,757.6468505859375,,168.8108367919922,1443.150390625,1123.2940673828125,4272.2177734375
