Date,ADM.L,AGK.L,ASCL.L,AV.L,AZN.L,BA.L,BARC.L,BRBY.L,CUK.L,DGE.L,FUTR.L,GSK.L,IAG.L,IHG.L,ITRK.L,JD.L,JMAT.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MRO.L,NXT.L,PFC.L,PPH.L,RDSA.L,SNN.L,STAN.L,TIFS.L,UU.L,VOD.L,WEIR.L,WJG.L,XPP.L
2017-07-19,,783.3942260742188,322.8902893066406,-729.1569213867188,4639.4990234375,555.225341796875,191.95989990234375,1565.873779296875,16330.0,2153.411376953125,245.8922576904297,1412.7135009765625,545.7462158203125,4356.8798828125,4158.802734375,,2715.125732421875,966.43798828125,226.10061645507812,60.394683837890625,287.17974853515625,224.17652893066406,3430.811279296875,-582.954345703125,796.1333618164062,1781.4390869140625,636.7296142578125,769.0211791992188,,780.2347412109375,189.6313018798828,1812.4825439453125,-222.88351440429688,2263.263427734375
2017-07-20,,796.335205078125,323.8570251464844,-733.2919921875,4687.99853515625,557.9515380859375,193.72781372070312,1574.4359130859375,16484.0,2172.222412109375,246.2875213623047,1425.4327392578125,524.5863647460938,4361.92626953125,4174.173828125,,2722.667724609375,971.1401977539062,229.06301879882812,60.935829162597656,288.57257080078125,220.4703369140625,3526.836669921875,-582.3351440429688,796.1333618164062,1809.0919189453125,646.730712890625,783.1656494140625,,798.0077514648438,192.1517333984375,1796.4927978515625,-222.6002960205078,2284.624267578125
2017-07-21,,776.9236450195312,325.21044921875,-730.5352783203125,4714.5361328125,551.1361083984375,190.7967987060547,1563.0198974609375,16421.5,2149.649169921875,240.36642456054688,1416.6610107421875,520.1781616210938,4351.8427734375,4150.15673828125,,2715.125732421875,962.6708374023438,229.76007080078125,60.421302795410156,285.9610595703125,219.900146484375,3567.857177734375,-584.5643920898438,796.1333618164062,1796.56201171875,653.8742065429688,772.4386596679688,,792.2315063476562,193.09156799316406,1786.146484375,-222.88351440429688,2344.989990234375
2017-07-24,,797.7218017578125,338.3580627441406,-725.7109985351562,4656.88525390625,546.592529296875,191.2154998779297,1571.581787109375,16207.0,2113.907958984375,247.07627868652344,1399.5556640625,516.210693359375,4315.556640625,4072.3408203125,,2695.328125,945.732421875,227.66896057128906,60.22612762451172,283.8718566894531,219.99520874023438,3458.780029296875,-568.5879516601562,796.1333618164062,1778.414794921875,661.9702758789062,776.1408081054688,,778.0130615234375,189.24679565429688,1772.9783935546875,-222.03387451171875,2354.27734375
2017-07-25,,782.4698486328125,349.9589538574219,-733.981201171875,4655.0556640625,548.8642578125,195.12356567382812,1615.342529296875,16380.5,2115.789306640625,247.47158813476562,1391.222412109375,516.210693359375,4363.9375,4085.790771484375,,2705.698486328125,941.9655151367188,229.150146484375,61.21083450317383,279.51934814453125,222.2759246826172,3481.15478515625,-559.5469970703125,796.1333618164062,1796.994140625,652.445556640625,798.544189453125,,776.2357788085938,188.00796508789062,1758.869873046875,-222.03387451171875,2367.27880859375
2017-07-26,,796.79736328125,341.25830078125,-738.1162719726562,4678.84765625,547.501220703125,196.519287109375,1635.3203125,16404.0,2137.421875,250.03636169433594,1355.6962890625,521.5005493164062,4392.16943359375,4129.021484375,,2697.213623046875,941.9655151367188,231.06700134277344,61.281803131103516,281.3473815917969,223.60633850097656,3524.0400390625,-567.3494262695312,796.1333618164062,1802.61083984375,638.6346435546875,792.0889892578125,,786.010986328125,187.40988159179688,1801.1956787109375,-219.7682342529297,2321.7724609375
2017-07-27,,808.3519287109375,346.47869873046875,-738.8054809570312,3957.758056640625,553.4078369140625,194.1000213623047,1644.8333740234375,16387.5,2265.33837890625,252.2077178955078,1342.9771728515625,523.7047729492188,4380.064453125,4178.9765625,,2736.808837890625,967.3731079101562,232.4610595703125,59.880165100097656,283.0013427734375,225.0318145751953,3661.0859375,-558.803955078125,796.1333618164062,1812.1165771484375,650.0642700195312,796.6456298828125,,785.122314453125,190.31480407714844,1764.5133056640625,-220.9010467529297,2320.84326171875
2017-07-28,,790.7890014648438,345.221923828125,-736.0487060546875,4100.96923828125,549.7730712890625,190.84332275390625,1632.46630859375,16221.0,2296.8466796875,252.2077178955078,1332.0123291015625,523.263916015625,4328.6572265625,4134.78515625,,2636.877685546875,955.1456298828125,230.97987365722656,58.99304962158203,281.521484375,220.75543212890625,3603.283935546875,-562.3955078125,796.1333618164062,1828.103271484375,652.445556640625,785.1591796875,,774.4585571289062,188.2215576171875,1752.2857666015625,-219.7682342529297,2303.1982421875
2017-07-31,,784.3184814453125,347.0587158203125,-742.9406127929688,4181.0400390625,546.592529296875,188.88929748535156,1627.709716796875,16255.0,2302.96044921875,251.4180908203125,1328.5035400390625,509.59820556640625,4325.630859375,4131.9033203125,,2649.13330078125,960.7916259765625,233.8551483154297,58.17690658569336,280.47686767578125,220.8504638671875,3682.528564453125,-553.602294921875,796.1333618164062,1843.22607421875,658.160400390625,803.7652587890625,,797.5634155273438,189.67401123046875,1725.00927734375,-220.9010467529297,2451.791259765625
2017-08-01,,802.8057861328125,358.7562255859375,-745.0081176757812,4108.74755859375,551.5905151367188,192.2390594482422,1641.9796142578125,16349.5,2294.4951171875,252.60211181640625,1330.2578125,526.7905883789062,4342.77392578125,4510.4130859375,,2605.7666015625,958.9039916992188,234.37789916992188,58.16802978515625,282.1308288574219,220.75543212890625,3703.970947265625,-555.9553833007812,796.1333618164062,1844.5220947265625,675.3048706054688,803.2906494140625,,793.5645141601562,189.37496948242188,1712.78173828125,-223.1667022705078,2553.949462890625
