Date,0127.KL,0172.KL,2194.KL,5005.KL,5099.KL,5135.KL,5184.KL,5216.KL,5257.KL,5279.KL,5398.KL,5878.KL,7108.KL,7206.KL,7293.KL,8583.KL,MLYBY,MNCS.KL
2015-01-02,0.03166395053267479,0.6830313801765442,2.284883499145508,1.75,2.380368947982788,2.1869261264801025,1.9389350414276123,1.089357614517212,0.9181946516036987,,5.010000228881836,0.7808076739311218,,0.3149999976158142,2.740000009536743,1.4533264636993408,3.869814395904541,0.36111000180244446
2015-01-05,0.03166395053267479,0.6357749700546265,2.2468018531799316,1.75,2.2678425312042236,2.1775803565979004,1.7711424827575684,1.0542172193527222,0.9086301326751709,,5.050000190734863,0.7561506032943726,,0.3050000071525574,2.7200000286102295,1.4533264636993408,3.7633748054504395,0.36667001247406006
2015-01-06,0.02922826074063778,0.6099996566772461,2.2087204456329346,1.7599999904632568,2.155316114425659,2.1775803565979004,1.6592810153961182,1.036646842956543,0.8990656137466431,,,0.7397125959396362,,0.29499998688697815,2.8299999237060547,1.4661895036697388,3.687346935272217,0.3499999940395355
2015-01-07,0.03166395053267479,0.6142938733100891,2.142078161239624,1.8899999856948853,2.224562883377075,2.1775803565979004,1.6219937801361084,1.063002347946167,0.8895010948181152,,5.0,0.7458768486976624,,0.29499998688697815,2.8299999237060547,1.4533264636993408,3.710155487060547,0.36667001247406006
2015-01-08,0.03166395053267479,0.6185881495475769,2.142078161239624,1.850000023841858,2.2332189083099365,2.149542808532715,1.6406373977661133,1.089357614517212,0.9086301326751709,,5.010000228881836,0.7664243578910828,,0.30000001192092896,2.880000114440918,1.4661895036697388,3.6493332386016846,0.3722200095653534
2015-01-09,0.03166395053267479,0.6314806938171387,2.19920015335083,1.8899999856948853,2.2332189083099365,2.1401970386505127,1.6313155889511108,1.063002347946167,0.8942833542823792,,5.099999904632568,0.7808076739311218,,0.3050000071525574,2.940000057220459,1.47904372215271,3.6037166118621826,0.38332998752593994
2015-01-12,0.03166395053267479,0.644363522529602,2.237281560897827,1.9199999570846558,2.2678425312042236,2.1401970386505127,1.696568250656128,1.0454320907592773,0.8895010948181152,,,0.7520411610603333,,0.30000001192092896,2.8399999141693115,1.47904372215271,3.687346935272217,0.36667001247406006
2015-01-13,0.03166395053267479,0.6787371039390564,2.2468018531799316,1.9299999475479126,2.3630568981170654,2.1401970386505127,1.7991079092025757,1.0717873573303223,0.8847188353538513,,,0.7643696069717407,,0.30000001192092896,2.799999952316284,1.4533264636993408,3.687346935272217,0.38332998752593994
2015-01-14,0.03166395053267479,0.7173951864242554,2.2753632068634033,2.0,2.440960168838501,2.1401970386505127,1.7338552474975586,1.0454320907592773,0.8847188353538513,,5.019999980926514,0.7540957927703857,,0.29499998688697815,2.8399999141693115,1.4661895036697388,3.5885109901428223,0.38332998752593994
2015-01-15,0.03166395053267479,0.7088066935539246,2.2753632068634033,1.9600000381469727,2.4323041439056396,2.102813482284546,1.7245334386825562,1.0542172193527222,0.8990656137466431,,5.03000020980835,0.7561506032943726,,0.3050000071525574,2.859999895095825,1.4533264636993408,3.6037166118621826,0.3972199857234955
2015-01-16,0.03166395053267479,0.7517590522766113,2.256322145462036,1.9500000476837158,2.3976807594299316,2.112159252166748,1.696568250656128,1.0454320907592773,0.8942833542823792,,5.019999980926514,0.7561506032943726,,0.29499998688697815,2.8399999141693115,1.4533264636993408,3.6493332386016846,0.41389000415802
2015-01-19,0.03288179263472557,0.7474647760391235,2.2277615070343018,1.9800000190734863,2.414992332458496,2.056084394454956,1.7338552474975586,1.036646842956543,0.8895010948181152,,5.019999980926514,0.7561506032943726,,0.3050000071525574,2.8399999141693115,1.4533264636993408,,0.4000000059604645
2015-01-20,0.03288179263472557,0.7732400894165039,2.237281560897827,1.9600000381469727,2.380368947982788,2.0747759342193604,1.7245334386825562,1.063002347946167,0.8942833542823792,,5.050000190734863,0.7561506032943726,,0.3100000023841858,2.890000104904175,1.472620964050293,3.7861831188201904,0.3972199857234955
2015-01-21,0.03288179263472557,0.7689458727836609,2.265842914581299,1.9500000476837158,2.380368947982788,2.0747759342193604,1.743177056312561,1.0542172193527222,0.8942833542823792,,5.0,0.776698112487793,,0.3449999988079071,2.859999895095825,1.446894884109497,3.679744243621826,0.38888999819755554
2015-01-22,0.04140670225024223,0.7603475451469421,2.284883499145508,1.9800000190734863,2.371713161468506,2.0747759342193604,1.7711424827575684,1.080572485923767,0.9086301326751709,,,0.7931362390518188,,0.3700000047683716,2.8499999046325684,1.447975516319275,3.7405660152435303,0.41389000415802
2015-01-23,0.03531748056411743,0.7560532689094543,2.265842914581299,2.009999990463257,2.4236483573913574,2.0747759342193604,1.8923259973526,1.0717873573303223,0.8990656137466431,,5.110000133514404,0.7910814881324768,,0.375,2.8499999046325684,1.4831206798553467,3.801388740539551,0.4333299994468689
2015-01-26,0.03531748056411743,0.7259836792945862,2.284883499145508,2.0399999618530273,2.406336784362793,2.093467950820923,1.8177516460418701,1.036646842956543,0.8751543164253235,,5.090000152587891,0.7951910495758057,,0.3499999940395355,2.9100000858306885,1.4550045728683472,3.72536039352417,0.41944000124931335
2015-01-27,0.03531748056411743,0.7173951864242554,2.2944037914276123,1.9800000190734863,2.3976807594299316,2.0373928546905518,1.7804642915725708,1.0454320907592773,0.8751543164253235,,5.039999961853027,0.7972456812858582,,0.36000001430511475,2.9000000953674316,1.4339174032211304,3.72536039352417,0.4166699945926666
